abies balsamea
abrus precatorius
abutilon indicum
acacia catechu
acacia nilotica
acanthus mollis
achyranthes bidentata
aconitum napellus
adhatoda vasica
adiantum capillus-veneris
adonis vernalis
aegle marmelos
agastache rugosa
agave americana
agrimonia eupatoria
agropyron repens
ailanthus altissima
ajuga reptans
albizzia lebbeck
alchemilla vulgaris
aletris farinosa
allium cepa
allium ursinum
alnus glutinosa
alstonia scholaris
althaea officinalis
amaranthus hypochondriacus
ammi majus
anacardium occidentale
anacyclus pyrethrum
anagallis arvensis
anamirta cocculus
ananas comosus
andrographis paniculata
anemarrhena asphodeloides
anemone pulsatilla
anethum graveolens
angelica archangelica
angelica dahurica
annona squamosa
anthemis cotula
anthriscus cerefolium
aphanes arvensis
aralia racemosa
arbutus unedo
arctostaphylos uva-ursi
arenaria rubra
argemone mexicana
arisaema triphyllum
aristolochia clematitis
armoracia rusticana
arnica montana
artemisia abrotanum
artemisia capillaris
artemisia cina
artemisia dracunculus
artemisia vulgaris
asclepias tuberosa
aspalathus linearis
asparagus officinalis
asparagus racemosus
asperula odorata
aspidosperma quebracho-blanco
atractylodes macrocephala
avena sativa
bacopa monnieri
