acid reflux
acne
allergy
anemia
anxiety
arthritis

bloating

cold
constipation
cough

depression

headache
high blood pressure

inflammation

period cramp

sleepiness
sleeplessness
sleep apnea
sleep disorder

sore throat
